page_id,slug,tenant_host,platform,category,status,expected_gov_id,expected_jurisdiction,expected_tier,note
171,city-of-indianapolis-in-2026-08-11-administration-and-finance-committee,indianapolis.granicus.com,granicus,consolidated government,verified,us:place:1836003,"Indianapolis, IN",registry,Indianapolis-Marion (balance) row
26,city-of-jacksonville-florida-2026-06-23-city-council-meeting,jaxcityc.granicus.com,granicus,consolidated government,verified,us:place:1235000,"Jacksonville, FL",registry,Jacksonville-Duval
2753,city-of-sitka-2021-09-14-city-and-borough-assembly-on-2021-09-14-6-00-pm,sitka.granicus.com,granicus,consolidated government,verified,us:place:0270540,"Sitka, AK",pinned,Sitka city and borough
1393,city-of-carson-2021-11-03-city-council-on-2021-11-03-5-00-pm,carson.granicus.com,granicus,consolidated government,verified,us:place:3209700,"Carson City, NV",registry,Carson City independent city
163,district-of-columbia-2026-07-13-committee-on-transportation-the-environment-publ,dc.granicus.com,granicus,consolidated government,verified,us:place:1150000,"Washington, DC",pinned,Washington DC county-equivalent
20,2025-12-19-nycc-pv-ch-cha-251218-163834-mp4,councilnyc.viebit.com,viebit,consolidated government,verified,us:place:3651000,"New York, NY",registry,New York City = five county rows
448,baton-rouge-la-2026-05-18-may-18-2026-planning-commission,batonrougela.new.swagit.com,swagit,consolidated government,verified,us:place:2205000,"Baton Rouge, LA",registry,Baton Rouge City-Parish
6099,greeley-county-ks-2012-01-18-greeley-county-schools-video,greeleycounty.org,youtube,consolidated government,verified,us:county:20071,"Greeley County, KS",registry,Greeley County KS unified government (county row canonical)
267,city-of-south-san-francisco-property-2025-11-14-regular-city-council-meeting,ci-ssf-ca.granicus.com,granicus,near-name control,verified,us:place:0673262,"South San Francisco, CA",registry,South San Francisco is NOT San Francisco
2860,west-baton-rouge-parish-la-2019-10-17-10-15-2019-board-of-adjustments,wbrcouncil.org,youtube,near-name control,verified,us:county:22121,"West Baton Rouge Parish, LA",registry,West Baton Rouge Parish is NOT Baton Rouge
764,lad-wp-board-of-commissioners-meeting-sep-27th-2022,ladwp.granicus.com,granicus,tenant is not the government,verified,rtr:us:ca:los-angeles-department-of-water-and-power,"Los Angeles Department of Water and Power, CA",pinned,LADWP is not the City of Los Angeles
3965,los-angeles-ca-2025-11-18-board-of-commissioners-special-meeting-nov-18th-2025,ladwp.granicus.com,granicus,tenant is not the government,verified,rtr:us:ca:los-angeles-department-of-water-and-power,"Los Angeles Department of Water and Power, CA",pinned,LADWP is not the City of Los Angeles
1626,city-of-los-angeles-ca-2026-01-13-board-of-commissioners-meeting-01-13-2026,ladwp.primegov.com,youtube,platform shape,verified,rtr:us:ca:los-angeles-department-of-water-and-power,"Los Angeles Department of Water and Power, CA",pinned,"same government, second host"
4853,city-of-los-angeles-ca-2026-05-26-board-of-commissioners-05-26-2026,ladwp.primegov.com,youtube,platform shape,verified,rtr:us:ca:los-angeles-department-of-water-and-power,"Los Angeles Department of Water and Power, CA",pinned,"same government, second host"
1048,sandag-ca-2026-01-16-audit-committee,pub-sandag.escribemeetings.com,escribe,tenant is not the government,verified,rtr:us:ca:san-diego-association-of-governments,"San Diego Association of Governments, CA",pinned,SANDAG is not San Diego
1069,san-diego-ca-2025-12-12-board-of-directors,pub-sandag.escribemeetings.com,escribe,tenant is not the government,verified,rtr:us:ca:san-diego-association-of-governments,"San Diego Association of Governments, CA",pinned,SANDAG is not San Diego
1631,city-of-menlo-park-ca-2026-01-20-january-20-2026-board-meeting,menlofire.primegov.com,youtube,tenant is not the government,verified,rtr:us:ca:menlo-park-fire-protection-district,"Menlo Park Fire Protection District, CA",pinned,Menlo Park Fire is not Atherton
4928,town-of-atherton-ca-2026-04-14-april-14-2026-board-meeting,menlofire.primegov.com,youtube,tenant is not the government,verified,rtr:us:ca:menlo-park-fire-protection-district,"Menlo Park Fire Protection District, CA",pinned,Menlo Park Fire is not Atherton
1623,2026-01-14-regular-meeting-of-the-board-of-directors-01-13-2026,cvwd.primegov.com,youtube,tenant is not the government,verified,rtr:us:ca:coachella-valley-water-district,"Coachella Valley Water District, CA",pinned,Coachella Valley Water District is not Indio
3859,city-of-indio-ca-2026-04-15-regular-meeting-of-the-board-of-directors-04-14-2026,cvwd.primegov.com,youtube,tenant is not the government,verified,rtr:us:ca:coachella-valley-water-district,"Coachella Valley Water District, CA",pinned,Coachella Valley Water District is not Indio
427,tarrant-county-tx-2026-08-31-monthly-meeting-of-the-board-of-trustees,tccd.granicus.com,granicus,tenant is not the government,verified,rtr:us:tx:tarrant-county-college-district,"Tarrant County College District, TX",pinned,Tarrant County College District is not Tarrant County
4234,tarrant-county-tx-2025-06-26-monthly-meeting-of-the-board-of-trustees,tccd.granicus.com,granicus,tenant is not the government,verified,rtr:us:tx:tarrant-county-college-district,"Tarrant County College District, TX",pinned,Tarrant County College District is not Tarrant County
844,horrycountyschools-sc-2024-12-09-policy-committee-meeting,pub-horrycountyschools.escribemeetings.com,escribe,tenant is not the government,verified,us:sd:4502490,"Horry County School District, SC",pinned,Horry County Schools is not Horry County
1798,2018-11-05-board-work-session,pub-horrycountyschools.escribemeetings.com,escribe,tenant is not the government,verified,us:sd:4502490,"Horry County School District, SC",pinned,Horry County Schools is not Horry County
355,los-angeles-county-ca-2026-03-18-planning-and-programming-committee-on-2026-03-1,metro.granicus.com,granicus,tenant is not the government,verified,rtr:us:ca:los-angeles-county-metropolitan-transportation-authority,"Los Angeles County Metropolitan Transportation Authority, CA",pinned,LA Metro is not LA County
5107,los-angeles-county-ca-2026-07-16-executive-management-committee-on-2026-07-16-11,metro.granicus.com,granicus,tenant is not the government,verified,rtr:us:ca:los-angeles-county-metropolitan-transportation-authority,"Los Angeles County Metropolitan Transportation Authority, CA",pinned,LA Metro is not LA County
672,hamilton-2024-08-01-hamilton-police-service-board-meeting,pub-hpsb.escribemeetings.com,escribe,tenant is not the government,verified,rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",pinned,Hamilton Police Services Board is not Hamilton
1057,hpsb-2026-08-12-special-meeting-of-the-hamilton-police-service-board,pub-hpsb.escribemeetings.com,escribe,tenant is not the government,verified,rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",pinned,Hamilton Police Services Board is not Hamilton
1076,mississauga-2022-01-28-board-of-directors,pub-trca.escribemeetings.com,escribe,tenant is not the government,verified,rtr:ca:on:toronto-and-region-conservation-authority,"Toronto and Region Conservation Authority, ON",pinned,TRCA is not Markham
2380,2020-06-16-partners-in-project-green-executive-management-committee,pub-trca.escribemeetings.com,escribe,tenant is not the government,verified,rtr:ca:on:toronto-and-region-conservation-authority,"Toronto and Region Conservation Authority, ON",pinned,TRCA is not Markham
14,county-of-napa-2026-06-02-board-of-supervisors-on-2026-06-02-9-00-am-final-suppl,napa.granicus.com,granicus,platform shape,verified,us:county:06055,"Napa County, CA",registry,county host that also carries City of Napa pages; the WO-102 truthy gate is what keeps a caption-only push from renaming them
2675,county-of-napa-ca-2026-02-10-board-of-supervisors-on-2026-02-10-9-00-am,napa.granicus.com,granicus,platform shape,verified,us:county:06055,"Napa County, CA",registry,county host that also carries City of Napa pages; the WO-102 truthy gate is what keeps a caption-only push from renaming them
3862,city-of-dallas-apr-04-2023-education-workforce-committee-meeting-dallas-county-c,dcccd.new.swagit.com,swagit,tenant is not the government,verified,rtr:us:tx:dallas-county-community-college-district,"Dallas County Community College District, TX",pinned,"Dallas College, not Duncanville/Dallas"
309,housing-authority-of-the-county-of-santa-clara-regular-board-meeting,hacsc.granicus.com,granicus,platform shape,verified,us:county:06085,"Santa Clara County, CA",manual_override,"Housing Authority of the County of Santa Clara; this row is a manual override, kept as the human decided"
1637,city-of-el-cerrito-ca-2021-01-06-planning-committee-meeting-01-06-2021,uatccta.primegov.com,youtube,platform shape,verified,us:place:0621796,"El Cerrito, CA",registry,"one host, El Cerrito + San Pablo (needs match discriminator)"
4254,city-of-san-pablo-ca-2021-02-03-planning-committee-meeting-02-03-2021,uatccta.primegov.com,youtube,platform shape,verified,us:place:0668294,"San Pablo, CA",registry,"one host, El Cerrito + San Pablo (needs match discriminator)"
241,august-11-2026-ashland-planning-commission,videoplayer.telvue.com,telvue,platform shape,verified,us:place:4103050,"Ashland, OR",registry,"TelVue: token in the path, playlists usually absent"
242,july-21-2026-ashland-city-council,videoplayer.telvue.com,telvue,platform shape,verified,us:place:4103050,"Ashland, OR",registry,"TelVue: token in the path, playlists usually absent"
232,yellow-springs-oh-2022-02-07-february-7-2022-regular-village-council-meeting,clerkshq.com,youtube,platform shape,verified,us:place:3986940,"Yellow Springs, OH",registry,"ClerkBase: site slug in the path, video delegated to YouTube"
233,yellow-springs-oh-2022-02-07-virtual-village-council-2022-02-07,clerkshq.com,youtube,platform shape,verified,us:place:3986940,"Yellow Springs, OH",registry,"ClerkBase: site slug in the path, video delegated to YouTube"
129,slc-live-meetings-2026-08-11-salt-lake-city-council-truth-in-taxation-08-11-2026,slc.primegov.com,youtube,platform shape,verified,us:place:4967000,"Salt Lake City, UT",pinned,PrimeGov delegating video to YouTube; page host wins over channel
130,slc-live-meetings-2026-07-21-salt-lake-city-formal-meeting-07-21-2026,slc.primegov.com,youtube,platform shape,verified,us:place:4967000,"Salt Lake City, UT",pinned,PrimeGov delegating video to YouTube; page host wins over channel
6928,grand-county-ut-2026-08-10-planning-commission-regular-meeting-august-10-2026,www.utah.gov,utah_pmn,platform shape,verified,us:county:49019,"Grand County, UT",registry,"Utah PMN: identity from the notice page, nothing in the address"
6929,carbon-county-ut-2026-09-01-carbon-county-planning-commission-regular-meeting,www.utah.gov,utah_pmn,platform shape,verified,us:county:49007,"Carbon County, UT",registry,"Utah PMN: identity from the notice page, nothing in the address"
6106,daviess-county-ky-fiscal-court-meeting-video-daviess-county-kentucky,www.daviessky.org,youtube,generic embed id collision,known_wrong,us:county:21059,"Daviess County, KY",registry,shares a MeetingPage row with other governments via a generic YouTube embed id (videoseries/live_stream); the row cannot be right for all of them until the collision fix lands -- expected is THIS host's own government
6124,bamberg-county-sc-livestream,www.bambergcounty.sc.gov,youtube,generic embed id collision,known_wrong,us:county:45009,"Bamberg County, SC",registry,shares a MeetingPage row with other governments via a generic YouTube embed id (videoseries/live_stream); the row cannot be right for all of them until the collision fix lands -- expected is THIS host's own government
220,meeting-890af1,discover.pbc.gov,unknown,blank page (no government),verified,rtr:unknown:discover.pbc.gov,,blank,"must show no government, no ""Unidentified"" placeholder and no hub link"
486,sep-16-2024-board-workshop-coppell-independent-school-district,coppellisd.new.swagit.com,swagit,blank page (no government),verified,rtr:unknown:coppellisd.new.swagit.com,,blank,"must show no government, no ""Unidentified"" placeholder and no hub link"
334,la-usd-2024-12-10-02-11-25-regular-board-meeting-1-00-pm-spanish,lausd.granicus.com,granicus,unresolved (wants a pin),open,,Unknown Jurisdiction,unresolved,honestly unkeyed today; a pin for this host settles it -- the check only asserts it is not keyed to a WRONG government
336,lc-psn-m-2026-05-19-board-of-education,lcpsnm.granicus.com,granicus,unresolved (wants a pin),open,,Unknown Jurisdiction,unresolved,honestly unkeyed today; a pin for this host settles it -- the check only asserts it is not keyed to a WRONG government
154,city-of-kansas-city-2026-08-11-transportation-infrastructure-and-operations-comm,kansascity.granicus.com,granicus,manual override survives re-ingest,verified,us:place:2938000,Kansas City,manual_override,"Kansas City MO, an ambiguous name only a human could settle"
3,emporia-ks-2026-07-22-commission-meeting,emporiaks.portal.civicclerk.com,civicclerk,disambiguated display form,verified,us:place:2021275,"Emporia (city), KS",registry,"the resolver must be idempotent on its own ""(village)"" output"
87,emporia-ks-2026-06-03-city-commission-meetings,emporiaks.portal.civicclerk.com,civicclerk,disambiguated display form,verified,us:place:2021275,"Emporia (city), KS",registry,"the resolver must be idempotent on its own ""(village)"" output"
