page_id,action,target_gov_id,expected_current_gov_id,expected_slug,requires,confidence,needs_ryan,ryan_decision,source_entry,shown_today,reason,evidence
1414,rekey,us:sd:5100810,us:place:5116000,city-of-chesapeake-va-2025-12-16-school-board-meeting,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Chesapeake, VA | School Board Meeting","A school board meeting filed under the city or town whose site carried it. The page's own title names no district, so the district is inferred from the place. Ryan approved this on 2026-09-21.","The title says only 'School Board Meeting' on chesapeake.granicus.com (view 39). The Census list has one school system in Chesapeake, Virginia: Chesapeake City Public Schools. Registry: us:sd:5100810 is Chesapeake City Public Schools, VA."
2610,rekey,us:sd:0630330,us:place:0656938,city-of-piedmont-2025-11-12-school-board-meeting,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Piedmont, CA | School Board Meeting","A school board meeting filed under the city or town whose site carried it. The page's own title names no district, so the district is inferred from the place. Ryan approved this on 2026-09-21.","The title says only 'School Board Meeting' on piedmont.granicus.com (view 9). The Census list has one district in Piedmont, California: Piedmont City Unified School District. Registry: us:sd:0630330 is Piedmont City Unified School District, CA."
2899,rekey,us:sd:3410560,us:cousub:3401347500,montclair-nj-2026-03-11-board-of-education-meeting,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Montclair Township, NJ | Board of Education Meeting","A school board meeting filed under the city or town whose site carried it. The page's own title names no district, so the district is inferred from the place. Ryan approved this on 2026-09-21.","The title says only 'Board of Education Meeting' on a TelVue player. The Census list has one district in Montclair, New Jersey: Montclair Town School District. Registry: us:sd:3410560 is Montclair Town School District, NJ."
3787,rekey,us:sd:0606450,us:place:0608954,city-of-burbank-2017-03-16-03-16-17-regular-meeting-board-of-education,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Burbank, CA | 03.16.17 - Regular Meeting Board of Education","A school board meeting filed under the city or town whose site carried it. The page's own title names no district, so the district is inferred from the place. Ryan approved this on 2026-09-21.","The title says only 'Regular Meeting Board of Education' on burbank.granicus.com. The Census list has one Burbank district that fits: Burbank Unified School District (Luther Burbank is in San Jose). Registry: us:sd:0606450 is Burbank Unified School District, CA."
3885,rekey,us:sd:0901470,us:cousub:0911025990,enfield-ct-2026-08-25-board-of-education-regular-meeting,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Enfield, CT | Board of Education Regular Meeting","A school board meeting filed under the city or town whose site carried it. The page's own title names no district, so the district is inferred from the place. Ryan approved this on 2026-09-21.","The title says only 'Board of Education Regular Meeting' on enfieldct.portal.civicclerk.com. The Census list has one district in Enfield, Connecticut. Registry: us:sd:0901470 is Enfield School District, CT."
3367,rekey,us:sd:3302610,us:cousub:3301517940,school-board-meeting-meeting-of-05-13-25,,medium,yes,,"Full-corpus screen (5,857 pages) found the same","Derry, NH | School Board Meeting - Meeting of 05/13/25","A school board meeting filed under Derry, NH. The page's own title names no district. Ryan left this row unapproved on 2026-09-21: the district is not confirmed (the national list has only an elementary Derry district).","The title says only 'School Board Meeting - Meeting of 05/13/25' on a TelVue player. The Census list has 'Derry School District' (elementary only) for Derry, New Hampshire and no cooperative district, so the board that met may be a different, unlisted district. Confirm before applying. Registry: us:sd:3302610 is Derry School District, NH."
3453,rekey,,rtr:unknown:vimeo.com,2026-08-24-hopkins-school-board-meeting-august-18th-2026,,low,yes,,"Full-corpus screen (5,857 pages) found the same","Hopkins | Hopkins School Board Meeting August 18th, 2026","A 'Hopkins School Board' meeting on a Vimeo channel, currently unresolved (rtr:unknown:vimeo.com). Ryan left this row unapproved on 2026-09-21: it has no target because the state of the Hopkins district is not proven.","Channel hopkinsschoolboard on vimeo.com. The Census list has two Hopkins districts: Hopkins Public School District, MN (us:sd:2714260) and Hopkins Public Schools, MI (us:sd:2618570). The page's transcript names neither state. The Hopkins MN board also appears on Edina's Cablecast (pages 3520, 3521, 3642, 3643), which points to Minnesota but does not prove this channel. Ryan or a person picks the state; then fill target_gov_id."
1311,rekey,us:sd:1200180,us:county:12011,broward-county-fl-school-board-workshop,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Broward County, FL | School Board Workshop",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"Host browardschools.granicus.com is the school district's own Granicus site; the title is 'School Board Workshop'. Florida school districts cover the same land as the county but are separate governments. Registry: us:sd:1200180 is Broward County School District, FL."
1324,rekey,us:sd:4501110,us:county:45013,beaufort-board-of-education-academics-committee,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Beaufort County, SC | Board of Education Academics Committee",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"The title is 'Board of Education Academics Committee' on beaufort.granicus.com, the county's Granicus. The Census list has Beaufort County School District (SC). Registry: us:sd:4501110 is Beaufort County School District, SC."
1333,rekey,us:sd:0200150,us:county:02130,ketchikan-gateway-borough-ak-school-board,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Ketchikan Gateway Borough, AK | School Board",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"The title is 'School Board' on borough-ketchikan.granicus.com, the borough's Granicus. The Census list has Ketchikan Gateway Borough School District. Registry: us:sd:0200150 is Ketchikan Gateway Borough School District, AK."
5565,rekey,us:sd:0200150,us:county:02130,ketchikan-gateway-borough-ak-2026-08-26-school-board-aug-26th-2026,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Ketchikan Gateway Borough, AK | School Board - Aug 26th, 2026",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"The title is 'School Board - Aug 26th, 2026' on borough-ketchikan.granicus.com, the borough's Granicus. Same district as page 1333. Registry: us:sd:0200150 is Ketchikan Gateway Borough School District, AK."
1856,rekey,us:sd:1201350,(none),nassau-county-dec-14-2017-december-14-2017-the-school-board-of-nassau-county-flo,,high,no,,"Full-corpus screen (5,857 pages) found the same","Nassau County | Dec 14, 2017 December 14, 2017 - The School Board of Nassau County, Florida - Nassau County School District","A school district's own meeting with no government id, shown only as 'Nassau County'.","The title names 'The School Board of Nassau County, Florida - Nassau County School District' and the host is nassaucountysd.new.swagit.com. The page carries no government id today. Registry: us:sd:1201350 is Nassau County School District, FL."
1938,rekey,us:sd:5100060,us:county:51001,accomack-county-va-2024-04-03-apr-03-2024-school-board-work-session,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Accomack County, VA | Apr 03, 2024 School Board Work Session",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"The title is 'School Board Work Session' on accomackcountyva.new.swagit.com, the county's Swagit. The Census list has Accomack County Public Schools. Registry: us:sd:5100060 is Accomack County Public Schools, VA."
2298,rekey,us:sd:1200810,us:county:12053,hernando-county-fl-2025-09-23-school-board-regular-meeting-on-2025-09-23-6-00-pm,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Hernando County, FL | School Board Regular Meeting on 2025-09-23 6:00 PM - Revision #1",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"Host hernandoschools.granicus.com is the school district's own Granicus site; the title is 'School Board Regular Meeting'. Florida school districts are separate governments from the county. Registry: us:sd:1200810 is Hernando County School District, FL."
2666,rekey,us:sd:5101830,us:county:51085,hanover-2026-02-03-school-board-meeting-budget-public-hearing,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Hanover County, VA | School Board Meeting : Budget Public Hearing",A school board meeting filed under the county. Whether to file a school board under the county or under the district that shares its land is the open question in the audit entry. Ryan approved this on 2026-09-21.,"The title is 'School Board Meeting : Budget Public Hearing' on hanovercova.portal.civicclerk.com, the county's CivicClerk. The Census list has Hanover County Public Schools. Registry: us:sd:5101830 is Hanover County Public Schools, VA."
645,rekey,rtr:us:ca:santa-clara-county-office-of-education,us:county:06085,apr-22-2026-county-board-of-education-santa-clara-county-office-of-education,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Santa Clara County, CA | Apr 22, 2026 County Board of Education - Santa Clara County Office of Education","The Santa Clara County Office of Education's board, filed under Santa Clara County. The office is a separate government and is not in the Census school-district list; WO-934 mints it (below). Ryan approved the mint and this re-key on 2026-09-21. The minted government must be DEPLOYED to the Archive before this row can apply: the override route refuses an id the Archive does not know.","The title is 'Apr 22, 2026 County Board of Education' on sccoe.new.swagit.com. Minted in this PR: rtr:us:ca:santa-clara-county-office-of-education is Santa Clara County Office of Education, CA."
2004,rekey,rtr:us:ca:santa-clara-county-office-of-education,us:county:06085,jun-21-2023-county-board-of-education-santa-clara-county-office-of-education,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Santa Clara County, CA | Jun 21, 2023 County Board of Education - Santa Clara County Office of Education","The Santa Clara County Office of Education's board, filed under Santa Clara County. The office is a separate government and is not in the Census school-district list; WO-934 mints it (below). Ryan approved the mint and this re-key on 2026-09-21. The minted government must be DEPLOYED to the Archive before this row can apply: the override route refuses an id the Archive does not know.","The title is 'Jun 21, 2023 County Board of Education' on sccoe.new.swagit.com. Minted in this PR: rtr:us:ca:santa-clara-county-office-of-education is Santa Clara County Office of Education, CA."
5301,rekey,rtr:us:ca:solano-county-office-of-education,us:county:06095,solano-county-ca-2026-09-04-board-of-education-special-meeting-study-session-vid,,medium,yes,approve,"Full-corpus screen (5,857 pages) found the same","Solano County, CA | Board of Education Special Meeting - Study Session--------------------------Video Recording & Closed Captioning provided by Zoom","The Solano County Office of Education's board, filed under Solano County. The office is not in the Census school-district list; WO-934 mints it (below). Ryan approved the mint and this re-key on 2026-09-21. The minted government must be DEPLOYED to the Archive before this row can apply: the override route refuses an id the Archive does not know.","The title is 'Board of Education Special Meeting - Study Session' on solanocoe.granicus.com, the office's own Granicus site. Minted in this PR: rtr:us:ca:solano-county-office-of-education is Solano County Office of Education, CA."
5501,rekey,us:sd:1200480,rtr:unknown:duvalcosb.portal.civicclerk.com,2026-09-01-september-1-2026-regular-board-meeting-revised,,medium,yes,approve,Three pages from the school-district audit resolved," | September 1, 2026, Regular Board Meeting - REVISED",Shown as 'Unidentified government (duvalcosb.portal.civicclerk.com)'. The tenant reads as the Duval County School Board. Ryan approved this on 2026-09-21.,"Host duvalcosb.portal.civicclerk.com, event 3376, 'September 1, 2026, Regular Board Meeting - REVISED'. The Census list has one Duval district in Florida: Duval County School District. No pin exists for the host. The page has no video and no transcript. Registry: us:sd:1200480 is Duval County School District, FL."
6101,delete,,us:county:20073,greenwood-county-ks-2023-09-06-greenwood-county-kansas,,medium,yes,approve,6 `best_effort` YouTube pages archived a promotional,"Greenwood County, KS | Greenwood County, Kansas","A video by an unrelated channel, filed as a Greenwood County, KS meeting. Not a meeting. Ryan's rule: not related, so no page. Ryan approved this on 2026-09-21.","Title 'Greenwood County, Kansas'; channel @TaylorHuntRocketLab; source is the county homepage (greenwoodcounty.org), not a meeting page. 0 transcript cues. Found by WO-136 (2026-09-09)."
6119,delete,,us:county:39009,athens-county-oh-2025-09-23-vfw-appreciation-2025,,medium,yes,reject,6 `best_effort` YouTube pages archived a promotional,"Athens County, OH | VFW Appreciation 2025","Ryan rejected the delete on 2026-09-21, so the page is kept: 'VFW Appreciation 2025' looks like a government's own video that is not a meeting, filed as an Athens County, OH meeting. It is to be hidden once hiding is wired: MeetingPage already has a `meeting_kind` column (NULL means an ordinary meeting) and no list, sitemap, hub or feed query filters on it, so hiding needs wiring into those conditions and the page's noindex, not a new column. Which values hide is a later call.","Channel @acbdd (the handle matches athenscbdd.org, a site that reads as a county agency's); source is that agency's homepage, not a meeting page. 0 transcript cues."
6218,delete,,us:place:1765338,rolling-meadows-il-2019-03-25-welcome-to-rolling-meadows-2019,,medium,yes,reject,6 `best_effort` YouTube pages archived a promotional,"Rolling Meadows, IL | Welcome to Rolling Meadows 2019","Ryan rejected the delete on 2026-09-21, so the page is kept: 'Welcome to Rolling Meadows 2019' is the city's own promo video, filed as a meeting. It is to be hidden once hiding is wired: MeetingPage already has a `meeting_kind` column (NULL means an ordinary meeting) and no list, sitemap, hub or feed query filters on it, so hiding needs wiring into those conditions and the page's noindex, not a new column. Which values hide is a later call.","Channel @cityofrollingmeadows1 (the city's own); source www.cityrm.org/AgendaCenter, an index page. 0 transcript cues."
6830,delete,,us:place:1852992,new-haven-in-2020-09-14-drone-footage-over-new-haven-indiana,,medium,yes,approve,6 `best_effort` YouTube pages archived a promotional,"New Haven, IN | Drone footage over New Haven, Indiana","'Drone footage over New Haven, Indiana', a private person's video filed as a meeting. Not a meeting. Ryan's rule: not related, so no page. Ryan approved this on 2026-09-21.","Channel @craignhp (an individual); source www.newhaven.in.gov/AgendaCenter, an index page. 0 transcript cues."
6114,delete,,us:county:28065,jefferson-davis-county-ms-jefferson-davis-county-mississippi,,high,yes,approve,13 archived YouTube pages point at a video that is gone,"Jefferson Davis County, MS | Jefferson Davis County - Mississippi","Ryan approved deleting this page on 2026-09-21: the county has meetings but no video, and this page is the homepage's single intro video.","Video Eh1JO9zT_u0 is the target of the YouTube icon on the county homepage (https://www.co.jefferson-davis.ms.us/), one embed and not a meeting, whether or not the video is live. The county links PDF meeting notices and no YouTube channel. The page holds no transcript (0 cues, 'Captions disabled / video unavailable'). The research-file update is the conductor's."
6906,delete,,us:place:1264875,2026-05-19-agenda-center,video-gone,low,yes,,13 archived YouTube pages point at a video that is gone,"Sebring, FL | Agenda Center","Title 'Agenda Center': the video may not be a meeting at all, but it is NOT checked as gone and Ryan has approved nothing.",Source is the city's AgendaCenter page (mysebring.com/AgendaCenter); video _RZBcYEbQr4 (a /live/ address). The city homepage's 'Video Archive' button links https://www.youtube.com/channel/UCFO0knM5uKSJ30PKHP_3dUg. Ryan supplied a working video for the 2026-09-15 council meeting (yTeXBxcodt8) and the conductor and the drip Mac are ingesting it. The row waits for a drip-Mac check that says the video is gone (requires: video-gone).
7086,delete,,us:place:0645246,malibu-ca-2026-06-22-city-council-regular-meeting,video-gone;replacement-page:,low,yes,,13 archived YouTube pages point at a video that is gone,"Malibu, CA | City Council Regular Meeting","A REAL, on-mission meeting (2026-06-22 City Council Regular Meeting). Its video is not verified gone: it may only have captions off, which the drip's audio lane can transcribe. No delete is approved.","Video JGHPsOlz7wI, no transcript, outcome 'Captions disabled / video unavailable'. Ryan's order: ingest the replacement Malibu meeting first (https://www.youtube.com/watch?v=PveTE-5yFiU), then delete this page only if a drip-Mac check confirms the video is gone. 'requires' enforces both: video-gone (a checked status file) and replacement-page:<id> (fill in the id once the replacement page exists)."
