page_id,slug,tenant_host,match,current_jurisdiction,current_gov_id,current_tier,proposed_gov_id,proposed_gov_name,rule_solid_pages,proposed_name_in_page
6516,2026-09-03-council-meeting-sept-2-2026,www.youtube.com,channel=@hawthornenjtv7720,,rtr:unknown:www.youtube.com,blank,us:place:3430570,Hawthorne borough,1,REVIEW
4776,2024-08-19-board-of-county-commissioners-19-aug-2024,www.youtube.com,channel=@pendercounty9233,,rtr:unknown:pendercountync.civicweb.net,blank,us:county:37141,Pender County,2,REVIEW
918,the-city-of-rehoboth-beach-2026-06-23-rehoboth-beach-and-lewes-police-depts-and,www.youtube.com,channel=@rehobothbeach,the City of Rehoboth Beach,,unresolved,us:cousub:2500556375,Rehoboth town,1,yes
6585,2026-09-03-zap-ti-z-all-day-review-advisory-board-mtg-august-27-2026,www.youtube.com,channel=@slcozap,,rtr:unknown:youtu.be,blank,us:county:49035,Salt Lake County,1,REVIEW
1455,willow-park-texas-meetings-hub-2026-07-29-july-28-2026-city-council-meeting,www.youtube.com,channel=@thecityofwillowparktexas,Willow Park Texas Meetings Hub,rtr:us:tx:willow-park-texas-meetings-hub,unverified,us:place:4879492,Willow Park city,1,yes
3286,town-of-shelburne-2026-08-24-regular-council-meeting,www.youtube.com,channel=@thetownofshelburneshelburn441,Town of Shelburne,ca:csd:3522021,inferred,ca:csd:3522021,Shelburne,1,yes
4149,town-of-shelburne-2026-08-24-regular-council-meeting-acdcfc,www.youtube.com,channel=@thetownofshelburneshelburn441,Town of Shelburne,ca:csd:3522021,inferred,ca:csd:3522021,Shelburne,1,yes
4379,2026-07-16-july-15-2026-p-z-commission-meeting-training-session,www.youtube.com,channel=@villageofcorralesofficial7770,,rtr:unknown:youtu.be,blank,us:place:3517960,Corrales village,1,REVIEW
4380,meeting-51fab1,www.youtube.com,channel=@villageofwhitefishbay6684,,rtr:unknown:youtu.be,blank,us:place:5586700,Whitefish Bay village,1,REVIEW
1454,walton-county-meetings-portal-2026-08-06-planning-commission-meeting-august-6th,www.youtube.com,channel=@waltoncountygeorgiagovernm7831,Walton County Meetings Portal,rtr:us:ga:walton-county-meetings-portal,unverified,us:county:13297,Walton County,1,yes
