page_id,slug,platform,source_url,tenant_host,jurisdiction,meeting_body,jurisdiction_confidence,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,gov_classify_bucket
12,city-of-napa-2026-07-16-planning-commission,granicus,https://napacity.granicus.com/player/clip/3461?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
13,city-of-cupertino-2024-11-18-city-council-public-facilities-corporation-meeting,granicus,https://cupertino.granicus.com/MediaPlayer.php?clip_id=3426&view_id=18,cupertino.granicus.com,"City of Cupertino, CA",,validated,us:place:0617610,"Cupertino, CA",municipality,registry,us_places.csv Cupertino city,,cupertino-ca,us,CA,cupertino-ca,yes,city
14,county-of-napa-2026-06-02-board-of-supervisors-on-2026-06-02-9-00-am-final-suppl,granicus,https://napa.granicus.com/player/clip/5812?redirect=true&view_id=3,napa.granicus.com,"County of Napa, CA",,,us:county:06055,"Napa County, CA",county,registry,us_counties.csv Napa County,,napa-county-ca,us,CA,county-of-napa-ca,no,county
15,2026-07-15-city-council-meeting-330,escribe,https://pub-bakersfield.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=981f78d7-8211-4b4b-b066-5f93b4fd5e74&lang=English,pub-bakersfield.escribemeetings.com,"Bakersfield, CA",,,us:place:0603526,"Bakersfield, CA",municipality,registry,us_places.csv Bakersfield city,,bakersfield-ca,us,CA,bakersfield-ca,no,city
16,san-antonio-tx-2026-08-06-aug-06-2026-city-council-zoning-and-land-use-session,swagit,https://sanantoniotx.new.swagit.com/videos/395469,sanantoniotx.new.swagit.com,"San Antonio, TX",,,us:place:4865000,"San Antonio, TX",municipality,registry,us_places.csv San Antonio city,,san-antonio-tx,us,TX,san-antonio-tx,no,city
17,houston-tx-2026-07-28-jul-28-2026-council-meeting-july-28-2026-july-29-2026,swagit,https://houstontx.new.swagit.com/videos/394648,houstontx.new.swagit.com,"Houston, TX",,,us:place:4835000,"Houston, TX",municipality,registry,us_places.csv Houston city,,houston-tx,us,TX,houston-tx,no,city
18,city-of-berkeley-special-city-council-meeting-6-00-p-m,granicus,https://berkeley.granicus.com/player/clip/5432?publish_id=e388f85e-2074-11f0-955d-005056a89546&redirect=true,berkeley.granicus.com,"City of Berkeley, CA",,validated,us:place:0606000,"Berkeley, CA",municipality,registry,us_places.csv Berkeley city,,berkeley-ca,us,CA,berkeley-ca,yes,city
19,city-of-san-diego-2024-07-22-city-council-meeting-am-session-july-22-2024,granicus,https://sandiego.granicus.com/player/clip/8965?redirect=true&view_id=3,sandiego.granicus.com,"City of San Diego, CA",,validated,us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
20,2025-12-19-nycc-pv-ch-cha-251218-163834-mp4,viebit,https://councilnyc.viebit.com/embed/vod?d=false&s=true&v=jJapDWsvISZtiUcO,councilnyc.viebit.com,"New York, NY",,repaired,us:place:3651000,"New York, NY",municipality,registry,us_places.csv New York city,,new-york-ny,us,NY,new-york-ny,no,city
21,2025-12-18-nycc-250-8-2-251218-120823-mp4,viebit,https://councilnyc.viebit.com/embed/vod?d=false&s=true&v=QlwxQmbrfRyKTS8L,councilnyc.viebit.com,"New York, NY",,repaired,us:place:3651000,"New York, NY",municipality,registry,us_places.csv New York city,,new-york-ny,us,NY,new-york-ny,no,city
22,yountville-ca-2025-09-09-sep-09-2025-zoning-and-design-review-board-zdrb-meeting,swagit,https://yountvilleca.new.swagit.com/videos/355014,yountvilleca.new.swagit.com,"Yountville, CA",,,us:place:0686930,"Yountville, CA",municipality,registry,us_places.csv Yountville city,,yountville-ca,us,CA,yountville-ca,no,city
23,city-of-minneapolis-2026-08-06-climate-infrastructure-committee,youtube,https://lims.minneapolismn.gov/MarkedAgenda/CI/6133,lims.minneapolismn.gov,"City of Minneapolis, MN",,validated,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
24,dallas-tx-2025-12-10-dec-10-2025-city-council-agenda-meetings,swagit,https://dallastx.new.swagit.com/videos/364137,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
25,city-of-fort-worth-tx-2026-03-03-city-council-worksession-on-2026-03-03-2-00-pm,granicus,https://fortworthgov.granicus.com/player/clip/6154?redirect=true&view_id=2,fortworthgov.granicus.com,"City of Fort Worth, TX",,,us:place:4827000,"Fort Worth, TX",municipality,registry,us_places.csv Fort Worth city,,fort-worth-tx,us,TX,fort-worth-tx,yes,city
26,city-of-jacksonville-florida-2026-06-23-city-council-meeting,granicus,https://jaxcityc.granicus.com/player/clip/7439?redirect=true&view_id=1,jaxcityc.granicus.com,"City of Jacksonville, FL",,,us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
27,austin-tx-2026-08-06-aug-06-2026-city-council-budget-work-session,swagit,https://austintx.new.swagit.com/videos/395511/0,austintx.new.swagit.com,"Austin, TX",,,us:place:4805000,"Austin, TX",municipality,registry,us_places.csv Austin city,,austin-tx,us,TX,austin-tx,no,city
28,city-of-san-jose-2026-07-29-planning-director-s-hearing,granicus,https://sanjose.granicus.com/player/clip/15728?redirect=true&view_id=51,sanjose.granicus.com,"City of San Jose, CA",,validated,us:place:0668000,"San Jose, CA",municipality,registry,us_places.csv San Jose city,,san-jose-ca,us,CA,san-jose-ca,yes,city
29,austin-tx-2026-08-06-aug-06-2026-city-council-budget-work-session-2b432d,swagit,https://austintx.swagit.com/play/395511/0,austintx.swagit.com,"Austin, TX",,,us:place:4805000,"Austin, TX",municipality,registry,us_places.csv Austin city,,austin-tx,us,TX,austin-tx,no,city
30,city-of-san-diego-2025-06-09-city-council-meetings-special-agenda-revised-added,granicus,https://sandiego.granicus.com/player/clip/9189?redirect=true&view_id=3,sandiego.granicus.com,"City of San Diego, CA",,,us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
31,dallas-tx-2026-08-05-aug-05-2026-council-briefing,swagit,https://dallastx.new.swagit.com/videos/395349,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
32,dallas-tx-2026-06-24-jun-24-2026-city-council-agenda-meetings,swagit,https://dallastx.new.swagit.com/videos/392114,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
33,dallas-tx-2026-06-17-jun-17-2026-special-called-city-council-meeting,swagit,https://dallastx.new.swagit.com/videos/391428,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
34,dallas-tx-2026-06-10-jun-10-2026-special-called-city-council-meeting,swagit,https://dallastx.new.swagit.com/videos/390669,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
35,dallas-tx-2026-06-10-jun-10-2026-city-council-agenda-meetings,swagit,https://dallastx.new.swagit.com/videos/390668,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
36,dallas-tx-2026-06-03-jun-03-2026-council-briefing,swagit,https://dallastx.new.swagit.com/videos/389982,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
37,dallas-tx-2026-05-27-may-27-2026-city-council-agenda-meetings,swagit,https://dallastx.new.swagit.com/videos/389304,dallastx.new.swagit.com,"Dallas, TX",,,us:place:4819000,"Dallas, TX",municipality,registry,us_places.csv Dallas city,,dallas-tx,us,TX,dallas-tx,no,city
38,city-of-jacksonville-florida-2026-05-26-city-council,granicus,https://jaxcityc.granicus.com/player/clip/7361?redirect=true&view_id=1,jaxcityc.granicus.com,"City of Jacksonville, FL",,,us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
39,city-of-jacksonville-florida-2026-04-07-land-use-zoning-committee-agenda-meeting,granicus,https://jaxcityc.granicus.com/player/clip/7191?redirect=true&view_id=1,jaxcityc.granicus.com,"City of Jacksonville, FL",,,us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
40,city-of-jacksonville-florida-2025-12-09-city-council,granicus,https://jaxcityc.granicus.com/player/clip/7012?redirect=true&view_id=1,jaxcityc.granicus.com,"City of Jacksonville, FL",,,us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
41,city-of-jacksonville-florida-2026-08-03-neighborhoods-community-services-public,granicus,https://jaxcityc.granicus.com/player/clip/7447?redirect=true&view_id=1,jaxcityc.granicus.com,"City of Jacksonville, FL",,validated,us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
42,city-of-jacksonville-florida-2026-03-10-city-council,granicus,https://jaxcityc.granicus.com/player/clip/7169?redirect=true&view_id=1,jaxcityc.granicus.com,"City of Jacksonville, FL",,,us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
43,austin-tx-2026-04-23-apr-23-2026-city-council-meetings,swagit,https://austintx.swagit.com/play/383232/0,austintx.swagit.com,"Austin, TX",,,us:place:4805000,"Austin, TX",municipality,registry,us_places.csv Austin city,,austin-tx,us,TX,austin-tx,no,city
44,the-city-of-memphis-tennessee-2026-07-07-city-council-full-meeting,granicus,https://memphis.granicus.com/player/clip/10800?redirect=true&view_id=6,memphis.granicus.com,"Memphis, TN",,fallback,us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
45,the-city-of-memphis-tennessee-2026-05-26-city-council-full-meeting,granicus,https://memphis.granicus.com/player/clip/10736?redirect=true&view_id=6,memphis.granicus.com,"Memphis, TN",,fallback,us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
46,the-city-of-memphis-tennessee-2026-06-09-city-council-full-meeting,granicus,https://memphis.granicus.com/player/clip/10768?redirect=true&view_id=6,memphis.granicus.com,"Memphis, TN",,fallback,us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
47,the-city-of-memphis-tennessee-2026-03-24-city-council-full-meeting,granicus,https://memphis.granicus.com/player/clip/10696?redirect=true&view_id=6,memphis.granicus.com,"Memphis, TN",,fallback,us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
48,the-city-of-memphis-tennessee-parks-environment,granicus,https://memphis.granicus.com/player/clip/10031?redirect=true&view_id=6,memphis.granicus.com,"Memphis, TN",,fallback,us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
49,the-city-of-memphis-tennessee-2023-12-05-city-council-full-meeting,granicus,https://memphis.granicus.com/player/clip/9789?redirect=true&view_id=6,memphis.granicus.com,"Memphis, TN",,fallback,us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
50,charmtv-citizens-hub-2025-10-20-city-council-hearing-october-20-2025,youtube,https://baltimore.legistar.com/MeetingDetail.aspx?GUID=5353B4B6-3F2D-4E02-8DA0-F62A82299422&ID=1282692&Options=info%7C&Search=flock,baltimore.legistar.com,"Baltimore, MD",,fallback,us:place:2404000,"Baltimore, MD",municipality,registry,us_places.csv Baltimore city,,baltimore-md,us,MD,baltimore-md,no,city
51,city-of-minneapolis-2026-07-07-business-housing-zoning-committee,youtube,https://lims.minneapolismn.gov/MarkedAgenda/BHZ/6073,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
52,city-of-los-angeles-2026-08-05-regular-city-council-8-5-26,youtube,https://lacity.primegov.com/Portal/Meeting?meetingTemplateId=156373&parentLink=newPublicPortal&returnUrl=https%3A%2F%2Fportal-lacity.primegov.com%2Farchived%3Ffromiframe%3D1,lacity.primegov.com,"Los Angeles, CA",,authoritative,us:place:0644000,"Los Angeles, CA",municipality,pinned,tenant_overrides.csv lacity.primegov.com source=known_domains,,los-angeles-ca,us,CA,los-angeles-ca,no,city
53,city-of-san-diego-city-council-meetings-tuesday-agenda-revised-added-s500-s504,granicus,https://sandiego.granicus.com/player/clip/9071?redirect=true&view_id=3,sandiego.granicus.com,"City of San Diego, CA",,,us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
54,city-of-oakland-2024-12-10-special-finance-management-committee-on-2024-12-10-9,granicus,https://oakland.granicus.com/player/clip/6515?redirect=true&view_id=2,oakland.granicus.com,"City of Oakland, CA",,,us:place:0653000,"Oakland, CA",municipality,registry,us_places.csv Oakland city,,oakland-ca,us,CA,oakland-ca,yes,city
55,st-helena-ca-2026-04-07-city-council-special-meeting,civicclerk,https://sthelenaca.portal.civicclerk.com/event/1587/media,sthelenaca.portal.civicclerk.com,"St. Helena, CA",,,us:place:0664140,"St. Helena, CA",municipality,registry,us_places.csv St. Helena city,,st-helena-ca,us,CA,st-helena-ca,no,city
56,city-of-simi-valley-2023-12-18-city-council-meeting-12-18-2023-closed-session-st,granicus,https://simivalley.granicus.com/player/clip/2840,simivalley.granicus.com,"City of Simi Valley, CA",,,us:place:0672016,"Simi Valley, CA",municipality,registry,us_places.csv Simi Valley city,,simi-valley-ca,us,CA,simi-valley-ca,yes,city
57,city-of-napa-2025-06-24-city-council-of-the-city-of-napa-on-2025-06-24-6-30-pm-s,granicus,https://napacity.granicus.com/player/clip/3189?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,validated,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
58,city-of-napa-2026-07-02-planning-commission,granicus,https://napacity.granicus.com/player/clip/3459?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
59,city-of-napa-2026-06-30-special-planning-commission,granicus,https://napacity.granicus.com/player/clip/3458?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",City Council,validated,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
60,city-of-napa-2026-06-18-planning-commission,granicus,https://napacity.granicus.com/player/clip/3456?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
61,city-of-napa-2026-06-04-planning-commission,granicus,https://napacity.granicus.com/player/clip/3449?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
62,city-of-napa-2026-05-07-planning-commission,granicus,https://napacity.granicus.com/player/clip/3433?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
64,city-of-napa-2026-03-19-planning-commission,granicus,https://napacity.granicus.com/player/clip/3412?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
65,city-of-napa-2026-02-19-planning-commission,granicus,https://napacity.granicus.com/player/clip/3374?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
66,city-of-napa-2026-02-05-planning-commission,granicus,https://napacity.granicus.com/player/clip/3364?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
67,city-of-napa-2026-01-15-planning-commission,granicus,https://napacity.granicus.com/player/clip/3353?redirect=true&view_id=2,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
68,city-of-napa-2026-05-19-housing-authority-on-2026-05-19-3-30-pm-special-meeting,granicus,https://napacity.granicus.com/player/clip/3441?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
69,city-of-napa-2026-08-04-city-council-of-the-city-of-napa-on-2026-08-04-3-30-pm-3,granicus,https://napacity.granicus.com/player/clip/3470?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
70,city-of-napa-2026-07-21-city-council-of-the-city-of-napa-on-2026-07-21-3-30-pm-3,granicus,https://napacity.granicus.com/player/clip/3465?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
71,city-of-napa-2026-07-21-housing-authority-board-on-2026-07-21-3-30-pm-3-30-pm-sp,granicus,https://napacity.granicus.com/player/clip/3464?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,validated,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
72,city-of-napa-2026-06-16-city-council-of-the-city-of-napa-on-2026-06-16-3-30-pm-3,granicus,https://napacity.granicus.com/player/clip/3453?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
73,city-of-napa-2026-06-02-housing-authority-on-2026-06-02-3-30-pm-3-30-pm-afternoo,granicus,https://napacity.granicus.com/player/clip/3447?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
74,city-of-napa-2026-06-02-city-council-of-the-city-of-napa-on-2026-06-02-3-30-pm-3,granicus,https://napacity.granicus.com/player/clip/3448?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
75,city-of-napa-2026-05-28-city-council-of-the-city-of-napa-on-2026-05-28-3-00-pm-3,granicus,https://napacity.granicus.com/player/clip/3446?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,validated,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
76,city-of-napa-2026-05-19-city-council-of-the-city-of-napa-on-2026-05-19-3-30-pm-3,granicus,https://napacity.granicus.com/player/clip/3442?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
77,city-of-napa-2026-05-05-city-council-of-the-city-of-napa-on-2026-05-05-3-30-pm-3,granicus,https://napacity.granicus.com/player/clip/3432?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
78,city-of-napa-2026-05-05-city-council-of-the-city-of-napa-on-2026-05-05-12-00-pm,granicus,https://napacity.granicus.com/player/clip/3431?redirect=true&view_id=12,napacity.granicus.com,"City of Napa, CA",,validated,us:place:0650258,"Napa, CA",municipality,registry,us_places.csv Napa city,,napa-ca,us,CA,napa-ca,yes,city
79,city-of-minneapolis-2026-08-05-public-health-safety-equity,youtube,https://lims.minneapolismn.gov/MarkedAgenda/PHSE/6126,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
80,city-of-minneapolis-2026-08-04-business-housing-zoning-committee,youtube,https://lims.minneapolismn.gov/MarkedAgenda/BHZ/6129,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
81,city-of-minneapolis-2026-08-03-enterprise-labor-relations-committee,youtube,https://lims.minneapolismn.gov/MarkedAgenda/ELR/6131,lims.minneapolismn.gov,"Minneapolis, MN",,fallback,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,no,city
82,city-of-minneapolis-2026-07-30-city-council,youtube,https://lims.minneapolismn.gov/MarkedAgenda/Council/6138,lims.minneapolismn.gov,"Minneapolis, MN",,fallback,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,no,city
83,city-of-minneapolis-2026-07-28-committee-of-the-whole,youtube,https://lims.minneapolismn.gov/MarkedAgenda/COW/6120,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
84,city-of-minneapolis-2026-07-16-city-council,youtube,https://lims.minneapolismn.gov/MarkedAgenda/Council/6115,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
85,city-of-minneapolis-2026-06-25-city-council,youtube,https://lims.minneapolismn.gov/MarkedAgenda/Council/6084,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
86,city-of-minneapolis-2026-06-11-city-council,youtube,https://lims.minneapolismn.gov/MarkedAgenda/Council/6053,lims.minneapolismn.gov,"City of Minneapolis, MN",,,us:place:2743000,"Minneapolis, MN",municipality,registry,us_places.csv Minneapolis city,,minneapolis-mn,us,MN,minneapolis-mn,yes,city
87,emporia-ks-2026-06-03-city-commission-meetings,civicclerk,https://emporiaks.portal.civicclerk.com/event/549/media,emporiaks.portal.civicclerk.com,"Emporia, KS",,,us:place:2021275,"Emporia (city), KS",municipality,registry,us_places.csv Emporia city,,emporia-city-ks,us,KS,emporia-ks,no,city
88,city-of-san-diego-2026-05-19-city-council-meetings-tuesday-agenda-revised-added,granicus,https://sandiego.granicus.com/player/clip/9437?redirect=true&view_id=3,sandiego.granicus.com,"City of San Diego, CA",,,us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
89,city-of-san-diego-2026-04-21-city-council-meetings-tuesday-agenda-revised-added,granicus,https://sandiego.granicus.com/player/clip/9417?redirect=true&view_id=3,sandiego.granicus.com,"City of San Diego, CA",,,us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
90,city-of-san-diego-2026-06-02-city-council-meetings-tuesday-agenda-revised-added,granicus,https://sandiego.granicus.com/player/clip/9475?redirect=true&view_id=3,sandiego.granicus.com,"City of San Diego, CA",,,us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
