gov_id,gov_name,old_hubs,hub_count
us:place:0603092,"Atherton, CA",atherton-ca|town-of-atherton-ca,2
rtr:us:ca:coachella-valley-water-district,"Coachella Valley Water District, CA",coachella-valley-water-district-ca|indio-ca,2
rtr:us:ca:menlo-park-fire-protection-district,"Menlo Park Fire Protection District, CA",menlo-park-fire-protection-district-ca|town-of-atherton-ca,2
us:place:0828690,"Frisco, CO",frisco-co|town-of-frisco-co,2
us:county:42049,"Erie County, PA",erie-county|erie-county-pa,2
us:place:0645358,"Mammoth Lakes, CA",mammoth-lakes-ca|town-of-mammoth-lakes-ca,2
us:place:0665042,"Ventura, CA",ventura|ventura-ca,2
us:place:0446000,"Mesa, AZ",mesa|mesa-az,2
us:county:27037,"Dakota County, MN",county-of-dakota|dakota-county-mn,2
us:cousub:0911025990,"Enfield Town, CT",enfield-ct|enfield-town-ct,2
us:place:0624638,"Folsom, CA",folsom|folsom-ca,2
rtr:ca:on:haldimand-county,"Haldimand County, ON",haldimand-county|haldimand-county-on,2
ca:csd:4806012,"Okotoks, AB",okotoks-ab|town-of-okotoks-ab,2
us:county:08057,"Jackson County, CO",jackson-county|jackson-county-co,2
us:place:0680238,"Tracy, CA",tracy|tracy-ca,2
us:place:5335940,"Kirkland, WA",kirkland|kirkland-wa,2
us:place:0645400,"Manhattan Beach, CA",manhattan-beach|manhattan-beach-ca,2
us:place:1749854,"Mokena, IL",mokena-il|village-of-mokena-il,2
us:cousub:3611951693,"North Castle Town, NY",north-castle-town-ny|town-of-north-castle-ny,2
us:place:2424475,"Easton, MD",easton|easton-md,2
us:place:0670280,"Saratoga, CA",saratoga|saratoga-ca,2
us:cousub:2302568910,"Skowhegan Town, ME",skowhegan-town-me|town-of-skowhegan-me,2
us:place:4248480,"Media, PA",media-borough|media-pa,2
us:cousub:2300526525,"Freeport Town, ME",freeport-town-me|town-of-freeport,2
us:place:5350360,"Oak Harbor, WA",oak-harbor|oak-harbor-wa,2
us:cousub:2615512520,"Caledonia (charter township), MI",caledonia-charter-township-mi|caledonia-township,2
us:place:1886372,"Zionsville, IN",town-of-zionsville-in|zionsville-in,2
us:place:2415925,"Chesapeake Beach, MD",chesapeake-beach-md|town-of-chesapeake-beach-md,2
us:place:3706500,"Blowing Rock, NC",blowing-rock-nc|town-of-blowing-rock-nc,2
us:place:3743260,"Mills River, NC",mills-river-nc|town-of-mills-river-nc,2
us:place:5105544,"Bedford, VA",bedford-va|town-of-bedford-va,2
us:cousub:3809371860,"Severn Township, ND",severn-township-nd|township-of-severn,2
ca:csd:3543019,"Ramara, ON",ramara-on|township-of-ramara-on,2
ca:cd:3523,"Wellington, ON",county-of-wellington|wellington-on,2
us:county:42097,"Northumberland County, PA",county-of-northumberland|northumberland-county-pa,2
us:place:0649187,"Moraga, CA",moraga-ca|town-of-moraga-ca,2
us:place:3825700,"Fargo, ND",fargo|fargo-nd,2
us:place:0602896,"Artesia, CA",artesia|artesia-ca,2
us:place:2718188,"Edina, MN",edina|edina-mn,2
us:cousub:2500556375,"Rehoboth Town, MA",rehoboth-ma|rehoboth-town-ma,2
us:cousub:2005338600,"Langley Township, KS",langley|langley-township-ks,2
ca:csd:5919016,"Lake Cowichan, BC",lake-cowichan-bc|town-of-lake-cowichan-bc,2
ca:cd:3539,"Middlesex, ON",county-of-middlesex|middlesex-on,2
ca:csd:3519044,"Whitchurch-Stouffville, ON",town-of-whitchurch-stouffville-on|whitchurch-stouffville-on,2
us:place:5510375,"Brown Deer, WI",brown-deer-wi|village-of-brown-deer-wi,2
us:place:1250525,"Oakland, FL",oakland-fl|town-of-oakland-fl,2
us:place:3472420,"Tenafly, NJ",tenafly-borough-nj|tenafly-nj,2
ca:csd:4817029,"Slave Lake, AB",slave-lake-ab|town-of-slave-lake-ab,2
us:place:3656660,"Patchogue, NY",patchogue-ny|village-of-patchogue-ny,2
us:place:3664452,"Sagaponack, NY",sagaponack-ny|sagaponack-village-ny,2
us:place:1770122,"Skokie, IL",skokie-il|village-of-skokie-il,2
us:place:0660704,"Ridgecrest, CA",ridgecrest|ridgecrest-ca,2
us:place:3720120,"Edenton, NC",edenton-nc|town-of-edenton-nc,2
us:place:1366668,"Rome, GA",rome|rome-ga,2
us:place:2135866,"Henderson, KY",henderson|henderson-ky,2
us:county:27139,"Scott County, MN",scott-county|scott-county-mn,2
us:place:4958510,"Parowan, UT",parowan-city-ut|parowan-ut,2
us:place:5322640,"Everett, WA",everett|everett-wa,2
us:place:4958730,"Payson, UT",payson|payson-ut,2
us:place:3721160,"Emerald Isle, NC",emerald-isle-nc|town-of-emerald-isle-nc,2
us:place:4237955,"Jefferson Hills, PA",borough-of-jefferson-hills-pa|jefferson-hills-pa,2
us:place:0644112,"Los Gatos, CA",los-gatos-ca|town-of-los-gatos-ca,2
us:place:3952052,"Moreland Hills, OH",moreland-hills-oh|village-of-moreland-hills-oh,2
us:place:2647800,"Lincoln Park, MI",lincoln-park|lincoln-park-mi,2
us:place:5308570,"Buckley, WA",buckley|buckley-wa,2
us:place:3464590,"Roseland, NJ",borough-of-roseland-nj|roseland-nj,2
us:place:1732746,"Hanover Park, IL",hanover-park-il|village-of-hanover-park-il,2
us:place:0857025,"Palmer Lake, CO",palmer-lake-co|town-of-palmer-lake-co,2
us:place:0828305,"Fraser, CO",fraser-co|town-of-fraser,2
us:cousub:2300511125,"Casco Town, ME",casco-me|casco-town-me,2
us:place:3422440,"Fair Haven, NJ",borough-of-fair-haven|fair-haven-nj,2
us:place:5586700,"Whitefish Bay, WI",village-of-whitefish-bay-wi|whitefish-bay-wi,2
us:place:4751080,"Mount Pleasant, TN",mount-pleasant-tn|mt-pleasant-tn,2
us:place:4570585,"Surfside Beach, SC",surfside-beach-sc|town-of-surfside-beach,2
us:place:3725300,"Fuquay-Varina, NC",fuquay-varina-nc|town-of-fuquay-varina-nc,2
us:place:4141650,"Lebanon, OR",lebanon|lebanon-or,2
us:place:2057625,"Pratt, KS",pratt|pratt-ks,2
us:place:3929148,"Galena, OH",galena-oh|village-of-galena,2
us:cousub:3610368000,"Smithtown Town, NY",smithtown-ny|smithtown-town-ny,2
us:cousub:2609336100,"Hamburg Township, MI",hamburg-mi|hamburg-township-mi,2
us:place:3668462,"Southampton (village), NY",southampton|southampton-ny,2
us:place:4900540,"Alpine, UT",alpine|alpine-ut,2
us:place:5517175,"Cottage Grove (village), WI",cottage-grove-wi|village-of-cottage-grove-wi,2
